borough,year,no_crimes
Barking and Dagenham,2008,17656
Barking and Dagenham,2009,17713
Barking and Dagenham,2010,17130
Barking and Dagenham,2011,16686
Barking and Dagenham,2012,15990
Barking and Dagenham,2013,15759
Barking and Dagenham,2014,15426
Barking and Dagenham,2015,16346
Barking and Dagenham,2016,16741
Barnet,2008,23944
Barnet,2009,23449
Barnet,2010,23416
Barnet,2011,24007
Barnet,2012,23573
Barnet,2013,22510
Barnet,2014,22572
Barnet,2015,24036
Barnet,2016,24684
Bexley,2008,15305
Bexley,2009,14445
Bexley,2010,13166
Bexley,2011,11325
Bexley,2012,11669
Bexley,2013,11552
Bexley,2014,11844
Bexley,2015,11990
Bexley,2016,12840
Brent,2008,23504
Brent,2009,24748
Brent,2010,25512
Brent,2011,27669
Brent,2012,26357
Brent,2013,23759
Brent,2014,24426
Brent,2015,24883
Brent,2016,26693
Bromley,2008,24015
Bromley,2009,21858
Bromley,2010,19572
Bromley,2011,19868
Bromley,2012,19622
Bromley,2013,18945
Bromley,2014,19668
Bromley,2015,20637
Bromley,2016,20164
Camden,2008,32010
Camden,2009,31612
Camden,2010,31804
Camden,2011,33956
Camden,2012,31472
Camden,2013,28435
Camden,2014,27198
Camden,2015,29477
Camden,2016,29183
City of London,2008,0
City of London,2009,0
City of London,2010,0
City of London,2011,69
City of London,2012,157
City of London,2013,110
City of London,2014,115
City of London,2015,151
City of London,2016,178
Croydon,2008,29516
Croydon,2009,29784
Croydon,2010,29373
Croydon,2011,29830
Croydon,2012,30189
Croydon,2013,27444
Croydon,2014,27357
Croydon,2015,28089
Croydon,2016,28712
Ealing,2008,28947
Ealing,2009,28617
Ealing,2010,31360
Ealing,2011,29537
Ealing,2012,28832
Ealing,2013,25917
Ealing,2014,24978
Ealing,2015,26247
Ealing,2016,27127
Enfield,2008,21980
Enfield,2009,21147
Enfield,2010,20808
Enfield,2011,21041
Enfield,2012,21069
Enfield,2013,21574
Enfield,2014,21700
Enfield,2015,22076
Enfield,2016,22485
Greenwich,2008,22010
Greenwich,2009,19851
Greenwich,2010,18626
Greenwich,2011,18552
Greenwich,2012,20028
Greenwich,2013,18948
Greenwich,2014,19894
Greenwich,2015,20929
Greenwich,2016,22730
Hackney,2008,22004
Hackney,2009,20718
Hackney,2010,20175
Hackney,2011,21395
Hackney,2012,27095
Hackney,2013,25633
Hackney,2014,24893
Hackney,2015,26941
Hackney,2016,28265
Hammersmith and Fulham,2008,21114
Hammersmith and Fulham,2009,21211
Hammersmith and Fulham,2010,21941
Hammersmith and Fulham,2011,22151
Hammersmith and Fulham,2012,21030
Hammersmith and Fulham,2013,18605
Hammersmith and Fulham,2014,19185
Hammersmith and Fulham,2015,19848
Hammersmith and Fulham,2016,20174
Haringey,2008,25724
Haringey,2009,23704
Haringey,2010,22156
Haringey,2011,23179
Haringey,2012,23231
Haringey,2013,20705
Haringey,2014,22773
Haringey,2015,24626
Haringey,2016,27174
Harrow,2008,13774
Harrow,2009,13948
Harrow,2010,13945
Harrow,2011,12801
Harrow,2012,12803
Harrow,2013,11914
Harrow,2014,11909
Harrow,2015,12601
Harrow,2016,13153
Havering,2008,15395
Havering,2009,14538
Havering,2010,14957
Havering,2011,15496
Havering,2012,15965
Havering,2013,15089
Havering,2014,14734
Havering,2015,15870
Havering,2016,16903
Hillingdon,2008,24318
Hillingdon,2009,24605
Hillingdon,2010,23421
Hillingdon,2011,24282
Hillingdon,2012,22103
Hillingdon,2013,20248
Hillingdon,2014,23128
Hillingdon,2015,23234
Hillingdon,2016,24341
Hounslow,2008,20204
Hounslow,2009,19783
Hounslow,2010,19665
Hounslow,2011,21105
Hounslow,2012,22724
Hounslow,2013,19749
Hounslow,2014,20005
Hounslow,2015,21286
Hounslow,2016,22251
Islington,2008,26273
Islington,2009,25485
